character_name,release_year,best_of_episodes,non_best_of_episodes,episodes
"Mr. Monroe","2020",0,1,1
"Pearl Henderson","2022",0,1,1
"Byron Denniston","2013",0,1,1
"Damian Vast","2010",0,1,1
"Bridgette Murphy","2014",1,0,1
"Tobias Boothby","2022",0,1,1
"Bane","2018",0,1,1
"Ducky Powell","2013",1,1,2
"Luke","2018",0,1,1
"Qthor","2014",0,1,1
"Brendin' Fishin'","2019",0,1,1
"Gigantic Dan","2020",0,1,1
"Randy Snutz","2017",0,1,1
"Beverly Gunt","2016",0,1,1
"Guy Le Biscuit","2016",0,1,1
"Destiny","2023",0,1,1
"Lon Smudge","2013",0,1,1
"Susan Greenberg","2017",0,1,1
"Lord Dingle","2017",0,1,1
"Dorothy Charlessss","2018",0,1,1
"Gary Candles","2021",0,1,1
"Ivanka Silversan","2015",0,1,1
"Tamara G","2012",0,1,1
"Andy Pappage","2015",0,1,1
"Anniversary Man the Demon","2023",0,1,1
"Robert Canasta","2023",0,1,1
"Bridget Jones","2022",1,1,2
"Darlington Cassel","2018",0,1,1
"Joe Squib","2017",0,1,1
"Mrs. Blarrr","2016",0,1,1
"Lindsay McMulligan","2021",0,1,1
"Myrtle McGee","2022",0,1,1
"P'Nut","2017",1,0,1
"Michael Explosione, Jr.","2015",0,1,1
"Mr. Sing","2023",0,1,1
"Stash Polinyac","2010",0,1,1
"Olivier & Wiliger Wronge","2016",1,1,2
"Gordon Ramsay","2013",0,1,1
"Jim Jones","2012",0,1,1
"Sprague The Whisperer","2021",2,2,4
